0	共享服务站
1	我的合同工资是多少
1	如何查询工资
1	查看工资收入
1	我的工资是多少
2	发送邮件报错
2	邮件发不出
2	邮件无法发送
2	发送邮件显示服务器拒绝发送
2	邮件接收邮件正常，发送失败
3	打卡了显示缺勤
3	打卡了但是第二天说旷工
3	打卡显示旷工
3	为什么打卡了还是缺勤
4	银行卡号查询
4	想看一下个人的工资的银行账户信息
4	查询工资卡
4	查看自己的工资卡
4	工资卡是哪个银行
4	工资银行卡信息查询
4	银行卡信息确认
4	工资卡卡号确认
4	我的工资银行卡号是多少
4	银行卡是否维护成功
4	再次查看工资卡号
4	我的工资卡号码
4	我想查我系统记录的银行账号
4	员工工资卡卡号查看
4	银行卡号咨询
4	查询工资卡账号
4	想查询银行卡支行
4	自己的银行卡号
4	工资卡号多少
4	如何查看薪资
4	怎么查看入职时填写的银行卡号
4	怎么查我银行卡绑定成功。
4	个人信息中心
4	查看我的银行账户
4	工资卡号在哪核对
4	如何查询工资卡的银行卡信息
4	工资卡的银行卡查询
4	银行卡是否绑定成功？
4	银行账号查询
4	查看自己的银行账号信息
4	银行卡号
4	查下我的银行卡号
4	工资卡号确认
4	请问我的银行卡号正确吗
4	查询银行卡
4	银行卡号自助服务
4	我的银行卡在哪查看
4	个人工资卡账号信息查询
4	怎么查看自己的工资卡卡号
4	工资卡信息查询
4	怀疑入职时候工资卡号填错了
4	如何查询自己的工资卡
4	银行卡是否绑定成功，是否能正常发工资？
4	查询工资卡信息员工编号196258
4	查看工资卡
4	哪里查看个人银行卡信息
4	怎么查看绑定的银行卡号
4	工资卡卡号
4	工资卡号查询
4	去哪里查看自己的工资卡卡号
4	能否查询工资卡号
4	查询工作卡号变更
4	查询银行卡信息是否有问题
4	怎么查看我填写的银行卡
4	查询工资卡信息
4	银行卡信息如何查询
4	我想查看我的银行卡有没有输入成功
4	怎么查看自己的银行卡
4	我想查询我的工资卡绑定的是哪张卡
4	工资发到哪里
4	联行号查询
4	在哪里可以查到我的工资银行卡
4	银行卡信息如何查
4	银行卡信息昨天上午发过了，为什么还不能提交
4	查看银行账号
4	如何查看工资卡号
4	查询工资卡号
4	我想查一下我的银行卡信息
4	银行卡账号
4	工资卡号
4	怎么看工资卡是什么银行的
4	银行卡号是多少
4	银行卡信息
4	工资卡信息确认
4	怎么查询发薪账号
4	查询入职时银行卡
4	银行卡确认
4	查询下我的工资卡维护好没？
4	工资卡的卡号怎么查询
4	查询个人工资
4	银行卡绑定
4	我想咨询一下我的银行卡信息维护成功了没有？
